team,round,captain,year,team_total,image,round_rank
GOLDEN RRR,1,PRIYA EMPIRE,1999,452.9,IMG_3529.jpeg,8
MU6 BANG,1,JANANI,1991,446.6,IMG_3530.png,14
HUSTLERS,1,ANULEKA,1997,456.2,IMG_3531.png,5
VIP ROCKERZZZ,1,PRAVEEN SPIKES,1999,441.4,IMG_3532.png,16
PHOENIX BIRDS,1,IM SURYA,1993,457.5,IMG_3533.png,4
VOCAL TRADERS,1,VIKRAM,2012,448.5,IMG_3534.png,12
DORAVIN PAYANANGAL,1,BOMMU,1998,454.1,IMG_3535.png,7
TUNEXA,1,AVANTHIKA EMPIRE,2000,447.7,IMG_3536.png,13
MYSTIC VOICES,1,JHON MARVEL,1995,426.7,IMG_3537.png,19
SM RAAGA REBELS,1,NETHAJI J2C,1985,450.5,IMG_3538.png,10
ISAI SARAL,1,TAMILVENDHAN,1992,422.3,IMG_3539.png,21
SILENT BEATS,1,BUTTERFLY,1985,450.9,IMG_3540.png,9
THE BEATLES,1,AAROHI,2003,464.0,IMG_3541.png,1
DIAMOND CREW,1,RESHMI,1992,424.9,IMG_3542.png,20
MBA GOLDEN CHORDS,1,FAIRY FRESH,1980,449.3,IMG_3543.png,11
INNISAI MAZHAI,1,INNISAI,1990,454.8,IMG_3544.png,6
CUTE BIRDS,1,SHRUTHI,1994,443.9,IMG_3545.png,15
BEAST RIDERS,1,QUEEN MATHI,1992,440.6,IMG_3546.png,17
BLASTING BUDDIES,1,GOBI,1990,458.4,IMG_3548.png,3
FIRE TEAM,1,MYVIZHI,1996,438.6,IMG_3549.png,18
RCB,1,DRAGON,1985,461.3,IMG_3550.png,2
BEAST RIDERS,2,QUEEN MATHI,1993,454.2,IMG_3564.png,14
DORAVIN PAYANANGAL,2,BOMMU,1999,459.8,IMG_3565.png,11
CUTE BIRDS,2,SHRUTHI,1998,450.0,IMG_3566.png,17
FIRE TEAM,2,MYVIZHI,1997,451.8,IMG_3567.png,16
BLASTING BUDDIES,2,GOBI,1995,465.5,IMG_3568.png,2
DIAMOND CREW,2,RESHMI,1994,437.0,IMG_3569.png,21
GOLDEN RRR,2,PRIYA EMPIRE,2000,461.7,IMG_3570.jpeg,5
MYSTIC VOICES,2,JHON MARVEL,2000,446.6,IMG_3571.png,19
MBA GOLDEN CHORDS,2,FAIRY FRESH,1993,462.2,IMG_3572.png,4
ISAI SARAL,2,TAMILVENDHAN,1993,443.3,IMG_3573.png,20
INNISAI MAZHAI,2,INNISAI,1991,464.3,IMG_3574.png,3
MU6 BANG,2,JANANI,1992,460.1,IMG_3575.png,8
PHOENIX BIRDS,2,IM SURYA,1997,460.2,IMG_3576.png,7
HUSTLERS,2,ANULEKA,1999,460.5,IMG_3577.png,6
SM RAAGA REBELS,2,NETHAJI J2C,1995,454.1,IMG_3578.png,15
SILENT BEATS,2,BUTTERFLY,1990,460.1,IMG_3579.png,8
VIP ROCKERZZZ,2,PRAVEEN SPIKES,2001,459.9,IMG_3580.png,10
THE BEATLES,2,AAROHI,2004,449.3,IMG_3581.png,18
RCB,2,DRAGON,1999,470.0,IMG_3582.png,1
VOCAL TRADERS,2,VIKRAM,2013,457.8,IMG_3583.png,12
TUNEXA,2,AVANTHIKA EMPIRE,2004,457.3,IMG_3584.png,13
GOLDEN RRR,3,PRIYA EMPIRE,2003,465.3,IMG_3605.jpeg,9
SILENT BEATS,3,BUTTERFLY,1995,460.1,IMG_3606.png,15
MBA GOLDEN CHORDS,3,FAIRY FRESH,2008,457.4,IMG_3607.png,17
CUTE BIRDS,3,SHRUTHI,1999,462.4,IMG_3608.png,12
BEAST RIDERS,3,QUEEN MATHI,2000,458.0,IMG_3609.png,16
BLASTING BUDDIES,3,GOBI,2000,470.9,IMG_3610.png,2
FIRE TEAM,3,MYVIZHI,2001,453.3,IMG_3611.png,18
INNISAI MAZHAI,3,INNISAI,1992,469.9,IMG_3612.png,4
RCB,3,DRAGON,2000,468.3,IMG_3613.png,6
DIAMOND CREW,3,RESHMI,2000,452.5,IMG_3615.png,19
THE BEATLES,3,AAROHI,2008,471.3,IMG_3616.png,1
SM RAAGA REBELS,3,NETHAJI J2C,2001,462.8,IMG_3617.png,11
MYSTIC VOICES,3,JHON MARVEL,2000,463.7,IMG_3618.png,10
DORAVIN PAYANANGAL,3,BOMMU,2000,467.7,IMG_3619.png,7
ISAI SARAL,3,TAMILVENDHAN,1995,448.2,IMG_3620.png,20
TUNEXA,3,AVANTHIKA EMPIRE,2008,462.0,IMG_3621.png,13
MU6 BANG,3,JANANI,1993,467.7,IMG_3622.png,7
PHOENIX BIRDS,3,IM SURYA,2000,469.8,IMG_3623.png,5
HUSTLERS,3,ANULEKA,2000,470.9,IMG_3624.png,2
VIP ROCKERZZZ,3,PRAVEEN SPIKES,2003,461.3,IMG_3625.png,14
